Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Mon, Apr 2",6:30am,AUD,Low Impact Expected,AIG Manufacturing Index,56.0,57.7,
"Mon, Apr 2",6:50am,JPY,High Impact Expected,Tankan Manufacturing Index,23,24,25
"Mon, Apr 2",6:50am,JPY,Medium Impact Expected,Tankan Non-Manufacturing Index,22,23,22
"Mon, Apr 2",7:30am,AUD,Medium Impact Expected,Private Sector Credit m/m,1.4%,1.3%,1.2%
"Mon, Apr 2",8:00am,CNY,High Impact Expected,Manufacturing PMI,56.1,53.1,
"Mon, Apr 2",8:30am,AUD,High Impact Expected,Building Approvals m/m,10.6%,0.5%,-2.4%
"Mon, Apr 2",8:30am,AUD,High Impact Expected,Retail Sales m/m,0.9%,0.6%,0.8%
"Mon, Apr 2",9:30am,CNY,Medium Impact Expected,Caixin Manufacturing PMI,52.3,53.0,
"Mon, Apr 2",1:30pm,AUD,Medium Impact Expected,Commodity Prices y/y,9.0%,8.1%,
"Mon, Apr 2",2:15pm,EUR,Low Impact Expected,Spanish Manufacturing PMI,55.4,56.2,
"Mon, Apr 2",2:30pm,CHF,Medium Impact Expected,Manufacturing PMI,62.0,63.1,63.5
"Mon, Apr 2",2:45pm,EUR,Low Impact Expected,Italian Manufacturing PMI,53.8,54.5,54.2
"Mon, Apr 2",3:00pm,EUR,Medium Impact Expected,Final Manufacturing PMI,55.4,55.6,55.6
"Mon, Apr 2",3:30pm,GBP,Medium Impact Expected,Final Manufacturing PMI,54.4,55.0,55.4
"Mon, Apr 2",3:30pm,GBP,Low Impact Expected,Housing Equity Withdrawal q/q,14.6B,14.3B,12.2B
"Mon, Apr 2",9:00pm,USD,High Impact Expected,ISM Manufacturing PMI,50.9,51.3,52.3
"Mon, Apr 2",9:00pm,USD,Low Impact Expected,ISM Manufacturing Prices,65.5,60.0,59.0
"Tue, Apr 3",6:50am,JPY,Low Impact Expected,Monetary Base y/y,-19.1%,-22.0%,-21.1%
"Tue, Apr 3",8:00am,CNY,Low Impact Expected,Non-Manufacturing PMI,59.6,49.7,
"Tue, Apr 3",8:30am,AUD,Medium Impact Expected,Goods Trade Balance,-0.84B,-1.30B,-0.82B
"Tue, Apr 3",10:45am,JPY,Low Impact Expected,10-y Bond Auction,1.66|3.1,1.67|3.9,
"Tue, Apr 3",12:45pm,CHF,High Impact Expected,CPI m/m,0.1%,0.2%,0.2%
"Tue, Apr 3",2:00pm,EUR,Low Impact Expected,Spanish Unemployment Change,-15.8K,-7.2K,
"Tue, Apr 3",3:30pm,GBP,Low Impact Expected,Construction PMI,58.9,57.5,57.3
"Tue, Apr 3",4:00pm,EUR,Low Impact Expected,PPI m/m,0.3%,0.3%,0.2%
"Tue, Apr 3",9:00pm,USD,High Impact Expected,Pending Home Sales m/m,0.7%,-0.5%,-4.2%
"Tue, Apr 3",All Day,USD,Low Impact Expected,Total Vehicle Sales,16.3M,16.4M,16.6M
"Wed, Apr 4",6:01am,GBP,Low Impact Expected,Nationwide Consumer Confidence,88,86,85
"Wed, Apr 4",6:30am,AUD,High Impact Expected,Cash Rate,6.25%,6.25%,6.25%
"Wed, Apr 4",6:30am,AUD,Low Impact Expected,AIG Services Index,50.6,54.5,
"Wed, Apr 4",10:00am,NZD,Low Impact Expected,ANZ Commodity Prices m/m,2.0%,1.6%,
"Wed, Apr 4",2:15pm,EUR,Low Impact Expected,Spanish Services PMI,56.7,56.7,
"Wed, Apr 4",2:45pm,EUR,Low Impact Expected,Italian Services PMI,54.1,56.4,56.2
"Wed, Apr 4",3:00pm,EUR,Low Impact Expected,Final Services PMI,57.4,57.6,57.5
"Wed, Apr 4",3:30pm,GBP,Medium Impact Expected,Final Services PMI,57.6,57.5,57.4
"Wed, Apr 4",4:00pm,EUR,Low Impact Expected,Retail Sales m/m,0.3%,1.0%,-0.8%
"Wed, Apr 4",4:30pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,0.7%,1.8%,
"Wed, Apr 4",5:00pm,EUR,Medium Impact Expected,German Factory Orders m/m,3.9%,0.6%,-0.3%
"Wed, Apr 4",7:15pm,USD,High Impact Expected,ADP Non-Farm Employment Change,106K,125K,65K
"Wed, Apr 4",7:30pm,CAD,Medium Impact Expected,Building Permits m/m,-22.4%,-8.5%,10.4%
"Wed, Apr 4",9:00pm,USD,High Impact Expected,ISM Services PMI,52.4,54.8,54.3
"Wed, Apr 4",9:00pm,USD,Medium Impact Expected,Factory Orders m/m,1.0%,1.9%,-5.7%
"Wed, Apr 4",9:30pm,USD,Low Impact Expected,Crude Oil Inventories,4.3M,0.5M,-0.8M
