Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Mon, Jul 2",6:30am,AUD,Low Impact Expected,AIG Manufacturing Index,53.1,55.2,
"Mon, Jul 2",6:50am,JPY,High Impact Expected,Tankan Manufacturing Index,23,23,23
"Mon, Jul 2",6:50am,JPY,Medium Impact Expected,Tankan Non-Manufacturing Index,22,22,22
"Mon, Jul 2",7:30am,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.2%,0.1%,
"Mon, Jul 2",8:00am,CNY,High Impact Expected,Manufacturing PMI,54.5,55.7,
"Mon, Jul 2",8:30am,JPY,Low Impact Expected,Average Cash Earnings y/y,-0.6%,0.2%,-0.2%
"Mon, Jul 2",9:30am,CNY,Medium Impact Expected,Caixin Manufacturing PMI,55.0,54.1,
"Mon, Jul 2",1:30pm,AUD,Medium Impact Expected,Commodity Prices y/y,6.3%,5.7%,
"Mon, Jul 2",2:15pm,EUR,Low Impact Expected,Spanish Manufacturing PMI,55.1,53.3,
"Mon, Jul 2",2:30pm,CHF,Medium Impact Expected,Manufacturing PMI,62.8,59.6,58.9
"Mon, Jul 2",2:45pm,EUR,Low Impact Expected,Italian Manufacturing PMI,54.0,55.3,55.0
"Mon, Jul 2",3:00pm,EUR,Low Impact Expected,Final Manufacturing PMI,55.6,55.4,55.4
"Mon, Jul 2",3:30pm,GBP,Medium Impact Expected,Final Manufacturing PMI,54.3,54.7,54.7
"Mon, Jul 2",3:30pm,GBP,Low Impact Expected,Index of Services 3m/3m,1.0%,0.8%,0.9%
"Mon, Jul 2",All Day,CAD,Non-Economic,Bank Holiday,,,
"Mon, Jul 2",9:00pm,USD,High Impact Expected,ISM Manufacturing PMI,56.0,55.0,55.0
"Mon, Jul 2",9:00pm,USD,Low Impact Expected,ISM Manufacturing Prices,68.0,69.0,71.0
"Tue, Jul 3",6:50am,JPY,Low Impact Expected,Monetary Base y/y,-4.1%,-4.0%,-5.7%
"Tue, Jul 3",8:00am,CNY,Low Impact Expected,Non-Manufacturing PMI,58.5,67.6,
"Tue, Jul 3",8:30am,AUD,High Impact Expected,Building Approvals m/m,-5.6%,-1.0%,3.4%
"Tue, Jul 3",8:30am,AUD,High Impact Expected,Retail Sales m/m,-0.1%,0.7%,-0.3%
"Tue, Jul 3",9:00am,NZD,Medium Impact Expected,RBNZ Statement of Intent,,,
"Tue, Jul 3",10:45am,JPY,Low Impact Expected,10-y Bond Auction,1.88|2.7,1.81|3.6,
"Tue, Jul 3",12:45pm,CHF,High Impact Expected,CPI m/m,0.1%,0.2%,0.2%
"Tue, Jul 3",2:00pm,EUR,Low Impact Expected,Spanish Unemployment Change,-7.4K,-49.9K,
"Tue, Jul 3",3:30pm,GBP,Low Impact Expected,Construction PMI,60.1,57.7,58.0
"Tue, Jul 3",4:00pm,EUR,Low Impact Expected,PPI m/m,0.3%,0.3%,0.4%
"Tue, Jul 3",4:00pm,EUR,Low Impact Expected,Unemployment Rate,7.0%,7.1%,7.1%
"Tue, Jul 3",8:45pm,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Tue, Jul 3",9:00pm,USD,High Impact Expected,Pending Home Sales m/m,-3.5%,0.6%,-3.4%
"Tue, Jul 3",9:00pm,USD,Medium Impact Expected,Factory Orders m/m,-0.5%,-0.9%,0.5%
"Tue, Jul 3",All Day,USD,Low Impact Expected,Total Vehicle Sales,15.7M,16.2M,16.3M
"Wed, Jul 4",6:01am,GBP,Low Impact Expected,Nationwide Consumer Confidence,95,98,99
"Wed, Jul 4",6:30am,AUD,High Impact Expected,Cash Rate,6.25%,6.25%,6.25%
"Wed, Jul 4",6:30am,AUD,Low Impact Expected,AIG Services Index,54.9,56.1,
"Wed, Jul 4",8:30am,AUD,Medium Impact Expected,Goods Trade Balance,-0.81B,-1.23B,-0.92B
"Wed, Jul 4",2:00pm,GBP,High Impact Expected,Halifax HPI m/m,0.4%,0.5%,0.3%
