Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Thu, Nov 1",1:15am,USD,High Impact Expected,Federal Funds Rate,4.50%,4.50%,4.75%
"Thu, Nov 1",1:15am,USD,High Impact Expected,FOMC Statement,,,
"Thu, Nov 1",2:00am,GBP,Medium Impact Expected,MPC Member Bean Speaks,,,
"Thu, Nov 1",5:30am,AUD,Low Impact Expected,AIG Manufacturing Index,53.3,50.7,
"Thu, Nov 1",7:30am,AUD,High Impact Expected,Goods Trade Balance,-1.86B,-1.09B,-1.67B
"Thu, Nov 1",7:30am,AUD,High Impact Expected,Retail Sales m/m,0.8%,0.5%,0.8%
"Thu, Nov 1",8:00am,CNY,High Impact Expected,Manufacturing PMI,53.2,56.1,
"Thu, Nov 1",9:30am,CNY,Medium Impact Expected,Caixin Manufacturing PMI,55.2,55.0,
"Thu, Nov 1",10:45am,JPY,Low Impact Expected,10-y Bond Auction,1.66|3.1,1.68|2.7,
"Thu, Nov 1",12:30pm,AUD,Medium Impact Expected,Commodity Prices y/y,6.0%,6.3%,
"Thu, Nov 1",All Day,EUR,Non-Economic,French Bank Holiday,,,
"Thu, Nov 1",All Day,EUR,Non-Economic,Italian Bank Holiday,,,
"Thu, Nov 1",3:30pm,CHF,Medium Impact Expected,Manufacturing PMI,60.7,58.0,57.6
"Thu, Nov 1",4:30pm,GBP,Medium Impact Expected,Final Manufacturing PMI,52.9,54.5,54.7
"Thu, Nov 1",6:00pm,GBP,Medium Impact Expected,CBI Realized Sales,10,10,12
"Thu, Nov 1",6:30pm,USD,Low Impact Expected,Challenger Job Cuts y/y,-28.5%,21.7%,
"Thu, Nov 1",6:38pm,GBP,Low Impact Expected,10-y Bond Auction,4.99|1.9,5.23|1.7,
"Thu, Nov 1",7:30pm,USD,High Impact Expected,Core PCE Price Index m/m,0.2%,0.2%,0.1%
"Thu, Nov 1",7:30pm,USD,Medium Impact Expected,Personal Spending m/m,0.3%,0.4%,0.5%
"Thu, Nov 1",7:30pm,USD,Medium Impact Expected,Unemployment Claims,327K,330K,333K
"Thu, Nov 1",7:30pm,USD,Low Impact Expected,Personal Income m/m,0.4%,0.4%,0.4%
"Thu, Nov 1",9:00pm,USD,High Impact Expected,ISM Manufacturing PMI,50.9,51.7,52.0
"Thu, Nov 1",9:00pm,USD,Low Impact Expected,ISM Manufacturing Prices,63.0,63.0,59.0
"Thu, Nov 1",9:30pm,USD,Low Impact Expected,Natural Gas Storage,66B,59B,68B
"Thu, Nov 1",All Day,USD,Low Impact Expected,Total Vehicle Sales,16.1M,16.0M,16.2M
"Fri, Nov 2",12:00am,CHF,Medium Impact Expected,Gov Board Member Jordan Speaks,,,
"Fri, Nov 2",6:50am,JPY,Low Impact Expected,Monetary Base y/y,0.5%,0.6%,0.7%
"Fri, Nov 2",1:45pm,CHF,High Impact Expected,CPI m/m,0.9%,0.8%,0.1%
"Fri, Nov 2",3:15pm,EUR,Low Impact Expected,Spanish Manufacturing PMI,49.6,50.8,
