Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Mon, Oct 1",All Day,AUD,Non-Economic,Bank Holiday,,,
"Mon, Oct 1",6:50am,JPY,High Impact Expected,Tankan Manufacturing Index,23,21,23
"Mon, Oct 1",6:50am,JPY,Medium Impact Expected,Tankan Non-Manufacturing Index,20,21,22
"Mon, Oct 1",All Day,CNY,Non-Economic,Bank Holiday,,,
"Mon, Oct 1",8:00am,CNY,High Impact Expected,Manufacturing PMI,56.1,54.0,
"Mon, Oct 1",8:30am,JPY,Low Impact Expected,Average Cash Earnings y/y,0.1%,-0.2%,-1.7%
"Mon, Oct 1",2:15pm,EUR,Low Impact Expected,Spanish Manufacturing PMI,50.8,52.2,
"Mon, Oct 1",2:30pm,CHF,Medium Impact Expected,Manufacturing PMI,57.6,63.2,65.1
"Mon, Oct 1",2:45pm,EUR,Low Impact Expected,Italian Manufacturing PMI,52.4,52.8,53.6
"Mon, Oct 1",3:00pm,EUR,Low Impact Expected,Final Manufacturing PMI,53.2,53.2,53.2
"Mon, Oct 1",3:08pm,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Mon, Oct 1",3:30pm,GBP,Medium Impact Expected,Final Manufacturing PMI,55.1,55.5,56.1
"Mon, Oct 1",3:30pm,GBP,Low Impact Expected,Housing Equity Withdrawal q/q,10.0B,12.5B,13.1B
"Mon, Oct 1",3:30pm,GBP,Low Impact Expected,Mortgage Approvals,109K,111K,115K
"Mon, Oct 1",3:30pm,GBP,Low Impact Expected,Net Lending to Individuals m/m,9.5B,10.0B,10.0B
"Mon, Oct 1",9:00pm,USD,High Impact Expected,ISM Manufacturing PMI,52.0,52.8,52.9
"Mon, Oct 1",9:00pm,USD,Low Impact Expected,ISM Manufacturing Prices,59.0,62.0,63.0
"Mon, Oct 1",11:00pm,CHF,Low Impact Expected,Gov Board Member Hildebrand Speaks,,,
"Tue, Oct 2",6:30am,AUD,Low Impact Expected,AIG Manufacturing Index,50.7,52.4,
"Tue, Oct 2",6:50am,JPY,Low Impact Expected,Monetary Base y/y,0.7%,0.2%,0.7%
"Tue, Oct 2",All Day,CNY,Non-Economic,Bank Holiday,,,
"Tue, Oct 2",9:30am,CNY,Medium Impact Expected,Caixin Manufacturing PMI,55.0,53.4,
"Tue, Oct 2",10:45am,JPY,Low Impact Expected,10-y Bond Auction,1.68|2.7,1.65|2.8,
"Tue, Oct 2",12:45pm,CHF,High Impact Expected,CPI m/m,0.1%,0.2%,-0.1%
"Tue, Oct 2",12:45pm,CHF,Medium Impact Expected,SECO Economic Forecasts,,,
"Tue, Oct 2",1:30pm,AUD,Medium Impact Expected,Commodity Prices y/y,5.4%,1.9%,
"Tue, Oct 2",2:00pm,EUR,Low Impact Expected,Spanish Unemployment Change,-10.9K,58.0K,
"Tue, Oct 2",3:30pm,GBP,Low Impact Expected,Construction PMI,60.3,63.2,64.8
"Tue, Oct 2",4:00pm,EUR,Low Impact Expected,PPI m/m,0.1%,0.1%,0.3%
"Tue, Oct 2",4:00pm,EUR,Low Impact Expected,Unemployment Rate,6.9%,6.9%,6.9%
"Tue, Oct 2",9:00pm,USD,High Impact Expected,Pending Home Sales m/m,-6.5%,-2.0%,-10.7%
"Tue, Oct 2",All Day,USD,Low Impact Expected,Total Vehicle Sales,16.2M,15.9M,16.3M
"Wed, Oct 3",6:01am,GBP,Low Impact Expected,Nationwide Consumer Confidence,99,91,94
"Wed, Oct 3",6:30am,AUD,High Impact Expected,Cash Rate,6.50%,6.50%,6.50%
"Wed, Oct 3",All Day,CNY,Non-Economic,Bank Holiday,,,
"Wed, Oct 3",8:00am,CNY,Low Impact Expected,Non-Manufacturing PMI,64.6,63.2,
"Wed, Oct 3",8:30am,AUD,High Impact Expected,Goods Trade Balance,-1.61B,-1.46B,-0.88B
"Wed, Oct 3",8:30am,AUD,High Impact Expected,Retail Sales m/m,0.7%,0.3%,0.8%
"Wed, Oct 3",All Day,EUR,Non-Economic,German Bank Holiday,,,
"Wed, Oct 3",2:45pm,EUR,Low Impact Expected,Italian Services PMI,53.9,54.1,56.2
"Wed, Oct 3",3:00pm,EUR,Low Impact Expected,Final Services PMI,54.2,54.0,54.0
"Wed, Oct 3",3:30pm,GBP,Medium Impact Expected,Final Services PMI,56.7,56.7,57.6
"Wed, Oct 3",4:00pm,EUR,Low Impact Expected,Retail Sales m/m,0.1%,0.4%,0.4%
"Wed, Oct 3",4:30pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,0.4%,0.4%,
"Wed, Oct 3",6:30pm,USD,Low Impact Expected,Challenger Job Cuts y/y,21.7%,15.4%,
"Wed, Oct 3",7:15pm,USD,High Impact Expected,ADP Non-Farm Employment Change,58K,53K,27K
"Wed, Oct 3",9:00pm,USD,High Impact Expected,ISM Services PMI,54.8,55.0,55.8
"Wed, Oct 3",9:30pm,USD,Medium Impact Expected,Crude Oil Inventories,1.1M,-0.5M,1.8M
"Thu, Oct 4",6:30am,AUD,Low Impact Expected,AIG Services Index,56.4,51.6,
"Thu, Oct 4",All Day,CNY,Non-Economic,Bank Holiday,,,
"Thu, Oct 4",8:30am,AUD,High Impact Expected,Building Approvals m/m,-1.7%,-0.5%,0.2%
"Thu, Oct 4",9:08am,NZD,Low Impact Expected,ANZ Commodity Prices m/m,0.4%,1.4%,
"Thu, Oct 4",9:25am,CAD,Medium Impact Expected,Gov Council Member Longworth Speaks,,,
"Thu, Oct 4",2:00pm,CHF,Low Impact Expected,Foreign Currency Reserves,49B,47B,
"Thu, Oct 4",2:15pm,EUR,Low Impact Expected,Spanish Services PMI,52.4,53.5,
"Thu, Oct 4",3:00pm,GBP,High Impact Expected,Halifax HPI m/m,-0.6%,0.4%,0.3%
"Thu, Oct 4",5:01pm,EUR,Low Impact Expected,French 10-y Bond Auction,4.44|4.0,4.35|2.3,
"Thu, Oct 4",6:00pm,GBP,High Impact Expected,Official Bank Rate,5.75%,5.75%,5.75%
"Thu, Oct 4",6:45pm,EUR,Medium Impact Expected,Main Refinancing Rate,4.00%,4.00%,4.00%
"Thu, Oct 4",7:30pm,CAD,Medium Impact Expected,Building Permits m/m,1.4%,1.5%,-10.6%
"Thu, Oct 4",7:30pm,EUR,High Impact Expected,ECB Press Conference,,,
"Thu, Oct 4",7:30pm,USD,Medium Impact Expected,Unemployment Claims,317K,310K,301K
"Thu, Oct 4",9:00pm,CAD,High Impact Expected,Ivey PMI,56.0,60.0,58.5
"Thu, Oct 4",9:00pm,USD,Medium Impact Expected,Factory Orders m/m,-3.3%,-2.6%,3.4%
"Thu, Oct 4",9:30pm,USD,Low Impact Expected,Natural Gas Storage,57B,64B,74B
"Thu, Oct 4",10:30pm,USD,Medium Impact Expected,FOMC Member Mishkin Speaks,,,
"Fri, Oct 5",All Day,CNY,Non-Economic,Bank Holiday,,,
"Fri, Oct 5",12:00pm,JPY,Low Impact Expected,Leading Indicators,30.0%,30.0%,72.7%
"Fri, Oct 5",6:00pm,CAD,High Impact Expected,Employment Change,51.1K,16.5K,23.3K
"Fri, Oct 5",6:00pm,CAD,High Impact Expected,Unemployment Rate,5.9%,6.1%,6.0%
"Fri, Oct 5",7:30pm,USD,High Impact Expected,Non-Farm Employment Change,110K,100K,89K
"Fri, Oct 5",7:30pm,USD,High Impact Expected,Unemployment Rate,4.7%,4.7%,4.6%
"Fri, Oct 5",7:30pm,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.4%,0.3%,0.3%
"Fri, Oct 5",8:10pm,USD,Medium Impact Expected,FOMC Member Kohn Speaks,,,
"Fri, Oct 5",8:55pm,USD,Low Impact Expected,President Bush Speaks,,,
"Fri, Oct 5",9:30pm,CAD,High Impact Expected,BOC Business Outlook Survey,,,
"Sat, Oct 6",2:00am,USD,Low Impact Expected,Consumer Credit m/m,12.2B,10.0B,9.6B
"Sat, Oct 6",6:00am,USD,Medium Impact Expected,FOMC Member Warsh Speaks,,,
"Mon, Oct 8",6:30am,AUD,Low Impact Expected,AIG Construction Index,55.2,48.4,
"Mon, Oct 8",All Day,JPY,Non-Economic,Bank Holiday,,,
"Mon, Oct 8",8:30am,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,-0.4%,0.1%,
"Mon, Oct 8",12:45pm,CHF,Low Impact Expected,Unemployment Rate,2.6%,2.7%,2.7%
"Mon, Oct 8",1:00pm,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Mon, Oct 8",All Day,EUR,Low Impact Expected,Eurogroup Meetings,,,
"Mon, Oct 8",3:30pm,EUR,Low Impact Expected,Sentix Investor Confidence,15.3,14.0,18.1
"Mon, Oct 8",3:30pm,GBP,High Impact Expected,Manufacturing Production m/m,0.4%,0.4%,-0.2%
"Mon, Oct 8",3:30pm,GBP,High Impact Expected,PPI Input m/m,3.2%,1.4%,-1.4%
"Mon, Oct 8",3:30pm,GBP,Low Impact Expected,Industrial Production m/m,0.1%,0.3%,-0.1%
"Mon, Oct 8",3:30pm,GBP,Low Impact Expected,PPI Output m/m,0.1%,0.2%,0.1%
"Mon, Oct 8",5:00pm,EUR,Medium Impact Expected,German Factory Orders m/m,1.2%,2.1%,-6.1%
"Mon, Oct 8",All Day,CAD,Non-Economic,Bank Holiday,,,
"Mon, Oct 8",All Day,USD,Non-Economic,Bank Holiday,,,
"Tue, Oct 9",4:00am,NZD,High Impact Expected,NZIER Business Confidence,-27,-37,
"Tue, Oct 9",6:01am,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,3.0%,1.8%,
"Tue, Oct 9",6:01am,GBP,Low Impact Expected,NIESR GDP Estimate,0.7%,0.7%,
"Tue, Oct 9",8:30am,AUD,Low Impact Expected,NAB Business Confidence,7,10,
"Tue, Oct 9",12:00pm,JPY,Low Impact Expected,Economy Watchers Sentiment,42.9,45.3,44.1
"Tue, Oct 9",1:00pm,EUR,Low Impact Expected,German Trade Balance,15.3B,16.2B,16.5B
"Tue, Oct 9",1:45pm,EUR,Low Impact Expected,French Trade Balance,-2.8B,-3.0B,-3.2B
"Tue, Oct 9",All Day,EUR,Low Impact Expected,ECOFIN Meetings,,,
"Tue, Oct 9",3:30pm,EUR,High Impact Expected,ECB President Trichet Speaks,,,
"Tue, Oct 9",3:30pm,GBP,Medium Impact Expected,Goods Trade Balance,-6.9B,-6.9B,-7.4B
"Tue, Oct 9",5:00pm,EUR,Medium Impact Expected,German Industrial Production m/m,1.7%,0.4%,0.2%
"Tue, Oct 9",6:30pm,USD,Low Impact Expected,NFIB Small Business Index,97.3,96.3,
"Tue, Oct 9",7:15pm,CAD,High Impact Expected,Housing Starts,278K,220K,233K
"Tue, Oct 9",9:00pm,USD,Low Impact Expected,RCM/TIPP Economic Optimism,47.3,48.7,48.2
"Tue, Oct 9",9:30pm,GBP,Medium Impact Expected,Annual Pre-Budget Report,,,
"Wed, Oct 10",1:00am,USD,High Impact Expected,FOMC Meeting Minutes,,,
"Wed, Oct 10",2:10am,GBP,Medium Impact Expected,BOE Gov King Speaks,,,
"Wed, Oct 10",7:30am,AUD,Low Impact Expected,Westpac Consumer Sentiment,-0.3%,4.2%,
"Wed, Oct 10",8:30am,AUD,Medium Impact Expected,Home Loans m/m,1.6%,1.0%,-4.3%
"Wed, Oct 10",1:00pm,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,15.9%,12.6%,
"Wed, Oct 10",1:45pm,EUR,Medium Impact Expected,French Industrial Production m/m,0.3%,-0.3%,1.7%
"Wed, Oct 10",1:45pm,EUR,Low Impact Expected,French Gov Budget Balance,-63.2B,-47.4B,
"Wed, Oct 10",3:00pm,EUR,Low Impact Expected,Italian Industrial Production m/m,1.3%,0.5%,0.3%
"Wed, Oct 10",9:00pm,USD,Low Impact Expected,Final Wholesale Inventories m/m,0.1%,0.2%,0.2%
"Wed, Oct 10",9:00pm,USD,Low Impact Expected,JOLTS Job Openings,4.15M,4.19M,
"Wed, Oct 10",9:30pm,GBP,Low Impact Expected,CB Leading Index m/m,-0.2%,-0.2%,
"Thu, Oct 11",6:00am,NZD,Low Impact Expected,BusinessNZ Manufacturing Index,54.6,55.7,
"Thu, Oct 11",6:01am,GBP,Medium Impact Expected,RICS House Price Balance,-15%,-3%,-3%
"Thu, Oct 11",6:50am,JPY,Medium Impact Expected,Core Machinery Orders m/m,-7.7%,-5.5%,17.0%
"Thu, Oct 11",6:50am,JPY,Low Impact Expected,Bank Lending y/y,0.6%,0.5%,
"Thu, Oct 11",6:50am,JPY,Low Impact Expected,Current Account,2.19T,2.24T,1.75T
"Thu, Oct 11",6:50am,JPY,Low Impact Expected,M2 Money Stock y/y,1.7%,1.8%,1.8%
"Thu, Oct 11",8:00am,AUD,Low Impact Expected,MI Inflation Expectations,4.6%,3.1%,
"Thu, Oct 11",8:30am,AUD,High Impact Expected,Employment Change,13.0K,20.0K,34.3K
"Thu, Oct 11",8:30am,AUD,Medium Impact Expected,Unemployment Rate,4.2%,4.3%,4.3%
"Thu, Oct 11",11:30am,JPY,Medium Impact Expected,Overnight Call Rate,0.50%,0.50%,0.50%
"Thu, Oct 11",1:00pm,EUR,Low Impact Expected,German WPI m/m,0.9%,0.2%,0.5%
"Thu, Oct 11",1:00pm,JPY,Low Impact Expected,BOJ Monthly Report,,,
"Thu, Oct 11",2:26pm,JPY,High Impact Expected,BOJ Press Conference,,,
"Thu, Oct 11",3:00pm,EUR,Medium Impact Expected,ECB Monthly Bulletin,,,
"Thu, Oct 11",4:15pm,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Thu, Oct 11",5:00pm,EUR,Low Impact Expected,Final GDP q/q,0.3%,0.3%,0.3%
"Thu, Oct 11",7:30pm,CAD,High Impact Expected,Trade Balance,4.1B,3.9B,3.4B
"Thu, Oct 11",7:30pm,CAD,Low Impact Expected,NHPI m/m,0.4%,0.5%,0.9%
"Thu, Oct 11",7:30pm,USD,High Impact Expected,Trade Balance,-57.6B,-58.8B,-59.2B
"Thu, Oct 11",7:30pm,USD,Medium Impact Expected,Import Prices m/m,1.0%,1.0%,-0.3%
"Thu, Oct 11",7:30pm,USD,Medium Impact Expected,Unemployment Claims,308K,315K,320K
"Thu, Oct 11",9:30pm,USD,Medium Impact Expected,Crude Oil Inventories,-1.7M,1.1M,1.1M
"Thu, Oct 11",9:30pm,USD,Low Impact Expected,Natural Gas Storage,73B,70B,57B
"Thu, Oct 11",9:45pm,USD,Medium Impact Expected,FOMC Member Kroszner Speaks,,,
"Thu, Oct 11",11:00pm,USD,Medium Impact Expected,Federal Budget Balance,111.6B,100.0B,-117.0B
"Fri, Oct 12",4:45am,NZD,High Impact Expected,Core Retail Sales m/m,0.8%,0.5%,-0.1%
"Fri, Oct 12",4:45am,NZD,High Impact Expected,Retail Sales m/m,0.2%,0.4%,0.1%
"Fri, Oct 12",6:50am,JPY,Low Impact Expected,PPI y/y,1.7%,1.9%,2.0%
"Fri, Oct 12",9:00am,CNY,Medium Impact Expected,New Loans,284B,303B,
