Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Sat, Sep 1",8:00am,CNY,High Impact Expected,Manufacturing PMI,54.0,53.3,
"Sat, Sep 1",7:30pm,USD,Low Impact Expected,FOMC Member Mishkin Speaks,,,
"Sat, Sep 1",Day 3,All,Medium Impact Expected,Jackson Hole Symposium,,,
"Mon, Sep 3",6:30am,AUD,Low Impact Expected,AIG Manufacturing Index,52.4,57.4,
"Mon, Sep 3",6:50am,JPY,Medium Impact Expected,Capital Spending q/y,-4.9%,-2.3%,13.6%
"Mon, Sep 3",7:30am,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.5%,0.6%,
"Mon, Sep 3",8:00am,CNY,Low Impact Expected,Non-Manufacturing PMI,63.2,61.8,
"Mon, Sep 3",8:30am,AUD,High Impact Expected,Building Approvals m/m,0.4%,-1.8%,6.9%
"Mon, Sep 3",8:30am,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,0.1%,-0.5%,
"Mon, Sep 3",8:30am,AUD,Low Impact Expected,Company Operating Profits q/q,1.4%,2.3%,7.3%
"Mon, Sep 3",8:30am,JPY,Low Impact Expected,Average Cash Earnings y/y,-1.9%,-0.5%,-0.9%
"Mon, Sep 3",9:30am,CNY,Medium Impact Expected,Caixin Manufacturing PMI,53.4,53.2,
"Mon, Sep 3",1:30pm,AUD,Medium Impact Expected,Commodity Prices y/y,1.9%,3.6%,
"Mon, Sep 3",2:15pm,EUR,Low Impact Expected,Spanish Manufacturing PMI,52.2,53.2,
"Mon, Sep 3",2:30pm,CHF,Medium Impact Expected,Manufacturing PMI,65.1,62.0,63.0
"Mon, Sep 3",2:45pm,EUR,Low Impact Expected,Italian Manufacturing PMI,53.6,52.9,53.3
"Mon, Sep 3",3:00pm,EUR,Low Impact Expected,Final Manufacturing PMI,54.3,54.2,54.2
"Mon, Sep 3",3:30pm,GBP,Medium Impact Expected,Final Manufacturing PMI,56.3,55.1,55.9
"Mon, Sep 3",All Day,CAD,Non-Economic,Bank Holiday,,,
"Mon, Sep 3",All Day,USD,Non-Economic,Bank Holiday,,,
"Tue, Sep 4",6:01am,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,1.8%,1.2%,
"Tue, Sep 4",6:50am,JPY,Low Impact Expected,Monetary Base y/y,0.7%,0.0%,-2.3%
"Tue, Sep 4",8:30am,AUD,High Impact Expected,GDP q/q,0.9%,0.6%,1.6%
"Tue, Sep 4",10:45am,JPY,Low Impact Expected,10-y Bond Auction,1.65|2.8,1.81|2.7,
"Tue, Sep 4",12:45pm,CHF,Medium Impact Expected,GDP q/q,0.7%,0.7%,0.7%
"Tue, Sep 4",2:00pm,EUR,Low Impact Expected,Spanish Unemployment Change,58.0K,4.5K,
"Tue, Sep 4",3:00pm,EUR,Low Impact Expected,Italian Trade Balance,0.38B,-0.88B,-0.78B
"Tue, Sep 4",3:30pm,GBP,Low Impact Expected,Construction PMI,64.8,60.6,61.8
"Tue, Sep 4",4:00pm,EUR,Low Impact Expected,PPI m/m,0.3%,0.1%,0.1%
"Tue, Sep 4",4:00pm,EUR,Low Impact Expected,Revised GDP q/q,0.3%,0.3%,0.3%
"Tue, Sep 4",9:00pm,USD,High Impact Expected,ISM Manufacturing PMI,52.9,53.2,53.8
"Tue, Sep 4",9:00pm,USD,Low Impact Expected,Construction Spending m/m,-0.4%,0.0%,0.1%
"Tue, Sep 4",9:00pm,USD,Low Impact Expected,ISM Manufacturing Prices,63.0,63.1,65.0
"Tue, Sep 4",All Day,USD,Low Impact Expected,Total Vehicle Sales,16.3M,15.8M,15.3M
"Wed, Sep 5",6:01am,GBP,Low Impact Expected,Nationwide Consumer Confidence,94,94,96
"Wed, Sep 5",6:30am,AUD,High Impact Expected,Cash Rate,6.50%,6.50%,6.50%
"Wed, Sep 5",6:30am,AUD,Low Impact Expected,AIG Services Index,51.6,56.0,
"Wed, Sep 5",2:00pm,GBP,High Impact Expected,Halifax HPI m/m,0.4%,0.6%,0.8%
"Wed, Sep 5",2:15pm,EUR,Low Impact Expected,Spanish Services PMI,53.5,56.3,
"Wed, Sep 5",2:45pm,EUR,Low Impact Expected,Italian Services PMI,56.2,58.0,58.5
"Wed, Sep 5",3:00pm,EUR,Low Impact Expected,Final Services PMI,58.0,57.9,57.9
"Wed, Sep 5",3:30pm,GBP,Medium Impact Expected,Final Services PMI,57.6,56.5,57.0
"Wed, Sep 5",4:00pm,EUR,Low Impact Expected,Retail Sales m/m,0.1%,0.4%,0.6%
"Wed, Sep 5",4:30pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,0.4%,0.6%,
"Wed, Sep 5",6:30pm,USD,Low Impact Expected,Challenger Job Cuts y/y,15.4%,-25.8%,
"Wed, Sep 5",7:15pm,USD,Medium Impact Expected,ADP Non-Farm Employment Change,38K,82K,41K
"Wed, Sep 5",8:00pm,CAD,High Impact Expected,BOC Rate Statement,,,
"Wed, Sep 5",8:00pm,CAD,High Impact Expected,Overnight Rate,4.50%,4.50%,4.50%
"Wed, Sep 5",9:00pm,USD,High Impact Expected,Pending Home Sales m/m,-12.2%,-2.0%,5.0%
"Thu, Sep 6",1:00am,USD,Medium Impact Expected,Beige Book,,,
"Thu, Sep 6",8:30am,AUD,High Impact Expected,Employment Change,31.9K,18.0K,19.0K
"Thu, Sep 6",8:30am,AUD,Medium Impact Expected,Unemployment Rate,4.3%,4.3%,4.3%
"Thu, Sep 6",10:00am,NZD,Low Impact Expected,ANZ Commodity Prices m/m,1.4%,4.7%,
