Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Fri, Dec 1",12:00am,EUR,Low Impact Expected,German Buba President Nagel Speaks,,,
"Fri, Dec 1",6:30am,JPY,Low Impact Expected,Unemployment Rate,2.5%,2.6%,2.6%
"Fri, Dec 1",6:50am,JPY,Low Impact Expected,Capital Spending q/y,3.4%,3.4%,4.5%
"Fri, Dec 1",7:30am,JPY,Low Impact Expected,Final Manufacturing PMI,48.3,48.1,48.1
"Fri, Dec 1",8:45am,CNY,Medium Impact Expected,Caixin Manufacturing PMI,50.7,49.6,49.5
"Fri, Dec 1",12:30pm,AUD,Low Impact Expected,Commodity Prices y/y,-10.5%,-15.9%,
"Fri, Dec 1",2:00pm,GBP,Low Impact Expected,Nationwide HPI m/m,0.2%,-0.4%,0.9%
"Fri, Dec 1",2:45pm,EUR,Low Impact Expected,French Gov Budget Balance,-177.7B,-186.1B,
"Fri, Dec 1",3:00pm,CHF,Medium Impact Expected,GDP q/q,0.3%,0.1%,-0.1%
"Fri, Dec 1",3:00pm,USD,Low Impact Expected,FOMC Member Barr Speaks,,,
"Fri, Dec 1",3:15pm,EUR,Low Impact Expected,Spanish Manufacturing PMI,46.3,45.6,45.1
"Fri, Dec 1",3:30pm,CHF,Low Impact Expected,Manufacturing PMI,42.1,42.0,40.6
"Fri, Dec 1",3:45pm,EUR,Low Impact Expected,Italian Manufacturing PMI,44.4,45.3,44.9
"Fri, Dec 1",3:50pm,EUR,Low Impact Expected,French Final Manufacturing PMI,42.9,42.6,42.6
"Fri, Dec 1",3:55pm,EUR,Low Impact Expected,German Final Manufacturing PMI,42.6,42.3,42.3
"Fri, Dec 1",4:00pm,EUR,Low Impact Expected,Final Manufacturing PMI,44.2,43.8,43.8
"Fri, Dec 1",4:30pm,GBP,Low Impact Expected,Final Manufacturing PMI,47.2,46.7,46.7
"Fri, Dec 1",6:30pm,EUR,Medium Impact Expected,ECB President Lagarde Speaks,,,
"Fri, Dec 1",8:30pm,CAD,High Impact Expected,Employment Change,24.9K,14.2K,17.5K
"Fri, Dec 1",8:30pm,CAD,High Impact Expected,Unemployment Rate,5.8%,5.8%,5.7%
"Fri, Dec 1",9:30pm,CAD,Low Impact Expected,Manufacturing PMI,47.7,48.6,
"Fri, Dec 1",9:45pm,USD,Low Impact Expected,Final Manufacturing PMI,49.4,49.4,49.4
"Fri, Dec 1",10:00pm,USD,High Impact Expected,ISM Manufacturing PMI,46.7,47.9,46.7
"Fri, Dec 1",10:00pm,USD,Medium Impact Expected,ISM Manufacturing Prices,49.9,46.1,45.1
"Fri, Dec 1",10:00pm,USD,Low Impact Expected,Construction Spending m/m,0.6%,0.4%,0.2%
"Fri, Dec 1",10:00pm,USD,Low Impact Expected,FOMC Member Goolsbee Speaks,,,
"Fri, Dec 1",All Day,USD,Low Impact Expected,Wards Total Vehicle Sales,15.3M,15.5M,15.5M
"Fri, Dec 1",11:00pm,USD,High Impact Expected,Fed Chair Powell Speaks,,,
"Sat, Dec 2",2:00am,USD,High Impact Expected,Fed Chair Powell Speaks,,,
"Sat, Dec 2",2:00am,USD,Low Impact Expected,FOMC Member Cook Speaks,,,
"Mon, Dec 4",4:45am,NZD,Low Impact Expected,Overseas Trade Index q/q,-0.6%,-2.1%,0.3%
"Mon, Dec 4",6:50am,JPY,Low Impact Expected,Monetary Base y/y,8.9%,8.9%,9.0%
"Mon, Dec 4",7:00am,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.3%,-0.1%,
"Mon, Dec 4",7:30am,AUD,Low Impact Expected,ANZ Job Advertisements m/m,-4.6%,-3.4%,
"Mon, Dec 4",7:30am,AUD,Low Impact Expected,Company Operating Profits q/q,-1.3%,1.2%,-12.1%
"Mon, Dec 4",2:00pm,EUR,Low Impact Expected,German Trade Balance,17.8B,17.1B,16.7B
"Mon, Dec 4",2:30pm,CHF,High Impact Expected,CPI m/m,-0.2%,0.0%,0.1%
"Mon, Dec 4",3:00pm,EUR,Low Impact Expected,Spanish Unemployment Change,-24.6K,28.1K,36.9K
"Mon, Dec 4",4:30pm,EUR,Low Impact Expected,Sentix Investor Confidence,-16.8,-15.0,-18.6
"Mon, Dec 4",6:30pm,GBP,Low Impact Expected,MPC Member Dhingra Speaks,,,
"Mon, Dec 4",9:00pm,EUR,Medium Impact Expected,ECB President Lagarde Speaks,,,
"Mon, Dec 4",10:00pm,USD,Low Impact Expected,Factory Orders m/m,-3.6%,-2.7%,2.3%
"Tue, Dec 5",6:30am,JPY,Medium Impact Expected,Tokyo Core CPI y/y,2.3%,2.4%,2.7%
"Tue, Dec 5",7:00am,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-1.3%,2.8%,
"Tue, Dec 5",7:01am,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,2.6%,2.5%,2.6%
"Tue, Dec 5",7:30am,AUD,Low Impact Expected,Current Account,-0.2B,3.3B,7.8B
"Tue, Dec 5",8:45am,CNY,Medium Impact Expected,Caixin Services PMI,51.5,50.5,50.4
"Tue, Dec 5",10:30am,AUD,High Impact Expected,Cash Rate,4.35%,4.35%,4.35%
"Tue, Dec 5",10:30am,AUD,High Impact Expected,RBA Rate Statement,,,
"Tue, Dec 5",10:35am,JPY,Low Impact Expected,10-y Bond Auction,0.70|2.8,0.91|3.6,
"Tue, Dec 5",2:45pm,EUR,Low Impact Expected,French Industrial Production m/m,-0.3%,0.2%,-0.6%
"Tue, Dec 5",3:15pm,EUR,Low Impact Expected,Spanish Services PMI,51.0,51.6,51.1
"Tue, Dec 5",3:45pm,EUR,Low Impact Expected,Italian Services PMI,49.5,48.3,47.7
"Tue, Dec 5",3:50pm,EUR,Low Impact Expected,French Final Services PMI,45.4,45.3,45.3
"Tue, Dec 5",3:55pm,EUR,Low Impact Expected,German Final Services PMI,49.6,48.7,48.7
"Tue, Dec 5",4:00pm,EUR,Low Impact Expected,Final Services PMI,48.7,48.2,48.2
"Tue, Dec 5",4:30pm,GBP,Low Impact Expected,Final Services PMI,50.9,50.5,50.5
"Tue, Dec 5",5:00pm,EUR,Low Impact Expected,PPI m/m,0.2%,0.2%,0.5%
"Tue, Dec 5",9:17pm,NZD,Low Impact Expected,GDT Price Index,1.6%,0.0%,
"Tue, Dec 5",9:45pm,USD,Low Impact Expected,Final Services PMI,50.8,50.8,50.8
"Tue, Dec 5",10:00pm,USD,High Impact Expected,ISM Services PMI,52.7,52.2,51.8
"Tue, Dec 5",10:00pm,USD,High Impact Expected,JOLTS Job Openings,8.73M,9.31M,9.35M
"Tue, Dec 5",10:09pm,USD,Low Impact Expected,RCM/TIPP Economic Optimism,40.0,45.2,44.5
