Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Thu, Feb 1",2:00am,USD,High Impact Expected,Federal Funds Rate,5.50%,5.50%,
"Thu, Feb 1",2:00am,USD,High Impact Expected,FOMC Statement,,,
"Thu, Feb 1",2:30am,USD,High Impact Expected,FOMC Press Conference,,,
"Thu, Feb 1",7:30am,AUD,Low Impact Expected,Building Approvals m/m,0.1%,1.6%,
"Thu, Feb 1",7:30am,AUD,Low Impact Expected,Import Prices q/q,0.6%,0.8%,
"Thu, Feb 1",7:30am,AUD,Low Impact Expected,NAB Quarterly Business Confidence,-1,,
"Thu, Feb 1",7:30am,JPY,Low Impact Expected,Final Manufacturing PMI,48.0,48.0,
"Thu, Feb 1",8:45am,CNY,Medium Impact Expected,Caixin Manufacturing PMI,50.9,50.8,
"Thu, Feb 1",10:35am,JPY,Low Impact Expected,10-y Bond Auction,0.60|2.9,,
"Thu, Feb 1",12:30pm,AUD,Low Impact Expected,Commodity Prices y/y,-10.7%,,
"Thu, Feb 1",3:15pm,EUR,Low Impact Expected,Spanish Manufacturing PMI,47.1,46.2,
"Thu, Feb 1",3:30pm,CHF,Low Impact Expected,Manufacturing PMI,44.8,43.0,
"Thu, Feb 1",3:45pm,EUR,Low Impact Expected,Italian Manufacturing PMI,46.8,45.3,
"Thu, Feb 1",3:50pm,EUR,Low Impact Expected,French Final Manufacturing PMI,43.2,43.2,
"Thu, Feb 1",3:55pm,EUR,Low Impact Expected,German Final Manufacturing PMI,45.4,45.4,
"Thu, Feb 1",4:00pm,EUR,Low Impact Expected,Final Manufacturing PMI,46.6,46.6,
"Thu, Feb 1",4:30pm,GBP,Low Impact Expected,Final Manufacturing PMI,47.3,47.3,
"Thu, Feb 1",5:00pm,EUR,Medium Impact Expected,Core CPI Flash Estimate y/y,3.2%,3.4%,
"Thu, Feb 1",5:00pm,EUR,Medium Impact Expected,CPI Flash Estimate y/y,2.7%,2.9%,
"Thu, Feb 1",5:00pm,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.4%,0.2%,
"Thu, Feb 1",5:00pm,EUR,Low Impact Expected,Unemployment Rate,6.4%,6.4%,
"Thu, Feb 1",5:00pm,Tentative,EUR,Low Impact Expected,Spanish 10-y Bond Auction,,
"Thu, Feb 1",All Day,All,Medium Impact Expected,OPEC-JMMC Meetings,,,
"Thu, Feb 1",5:00pm,Tentative,EUR,Low Impact Expected,French 10-y Bond Auction,,
"Thu, Feb 1",7:00pm,GBP,High Impact Expected,BOE Monetary Policy Report,,,
"Thu, Feb 1",7:00pm,GBP,High Impact Expected,Monetary Policy Summary,,,
"Thu, Feb 1",7:00pm,GBP,High Impact Expected,MPC Official Bank Rate Votes,2-0-7,3-0-6,
"Thu, Feb 1",7:00pm,GBP,High Impact Expected,Official Bank Rate,5.25%,5.25%,
"Thu, Feb 1",7:30pm,USD,Low Impact Expected,Challenger Job Cuts y/y,-20.2%,,
"Thu, Feb 1",8:30pm,USD,High Impact Expected,Unemployment Claims,211K,214K,
"Thu, Feb 1",8:30pm,USD,Low Impact Expected,Prelim Nonfarm Productivity q/q,1.9%,5.2%,
"Thu, Feb 1",8:30pm,USD,Low Impact Expected,Prelim Unit Labor Costs q/q,2.1%,-1.2%,
"Thu, Feb 1",9:30pm,CAD,Low Impact Expected,Manufacturing PMI,45.4,,
"Thu, Feb 1",9:45pm,USD,Low Impact Expected,Final Manufacturing PMI,50.3,50.3,
"Thu, Feb 1",10:00pm,USD,High Impact Expected,ISM Manufacturing PMI,47.0,47.4,
"Thu, Feb 1",10:00pm,USD,Medium Impact Expected,ISM Manufacturing Prices,45.6,45.2,
"Thu, Feb 1",10:00pm,USD,Low Impact Expected,Construction Spending m/m,0.5%,0.4%,
"Thu, Feb 1",All Day,USD,Low Impact Expected,Wards Total Vehicle Sales,15.7M,15.8M,
"Thu, Feb 1",10:30pm,USD,Low Impact Expected,Natural Gas Storage,-326B,,
"Fri, Feb 2",4:45am,NZD,Low Impact Expected,Building Consents m/m,-10.6%,,
"Fri, Feb 2",6:50am,JPY,Low Impact Expected,Monetary Base y/y,7.5%,7.8%,
