Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Fri, Mar 1",4:45am,NZD,Low Impact Expected,Building Consents m/m,,,
"Fri, Mar 1",6:30am,JPY,Low Impact Expected,Unemployment Rate,,,
"Fri, Mar 1",7:30am,JPY,Low Impact Expected,Final Manufacturing PMI,,,
"Fri, Mar 1",8:45am,CNY,Medium Impact Expected,Caixin Manufacturing PMI,,,
"Fri, Mar 1",12:00pm,JPY,Low Impact Expected,Consumer Confidence,,,
"Fri, Mar 1",12:30pm,AUD,Low Impact Expected,Commodity Prices y/y,,,
"Fri, Mar 1",2:45pm,EUR,Low Impact Expected,French Gov Budget Balance,,,
"Fri, Mar 1",3:15pm,EUR,Low Impact Expected,Spanish Manufacturing PMI,,,
"Fri, Mar 1",3:30pm,CHF,Low Impact Expected,Manufacturing PMI,,,
"Fri, Mar 1",3:45pm,EUR,Low Impact Expected,Italian Manufacturing PMI,,,
"Fri, Mar 1",3:50pm,EUR,Low Impact Expected,French Final Manufacturing PMI,,,
"Fri, Mar 1",3:55pm,EUR,Low Impact Expected,German Final Manufacturing PMI,,,
"Fri, Mar 1",4:00pm,EUR,Low Impact Expected,Final Manufacturing PMI,,,
"Fri, Mar 1",4:00pm,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,,,
"Fri, Mar 1",4:30pm,GBP,Low Impact Expected,Final Manufacturing PMI,,,
"Fri, Mar 1",5:00pm,EUR,Medium Impact Expected,Core CPI Flash Estimate y/y,,,
"Fri, Mar 1",5:00pm,EUR,Medium Impact Expected,CPI Flash Estimate y/y,,,
"Fri, Mar 1",5:00pm,EUR,Low Impact Expected,Unemployment Rate,,,
"Fri, Mar 1",9:30pm,CAD,Low Impact Expected,Manufacturing PMI,,,
"Fri, Mar 1",9:45pm,USD,Low Impact Expected,Final Manufacturing PMI,,,
"Fri, Mar 1",10:00pm,USD,High Impact Expected,ISM Manufacturing PMI,,,
"Fri, Mar 1",10:00pm,USD,High Impact Expected,Revised UoM Consumer Sentiment,,,
"Fri, Mar 1",10:00pm,USD,Medium Impact Expected,ISM Manufacturing Prices,,,
"Fri, Mar 1",10:00pm,USD,Low Impact Expected,Construction Spending m/m,,,
"Fri, Mar 1",10:00pm,USD,Low Impact Expected,Revised UoM Inflation Expectations,,,
"Fri, Mar 1",All Day,USD,Low Impact Expected,Wards Total Vehicle Sales,,,
"Mon, Mar 4",4:45am,NZD,Low Impact Expected,Overseas Trade Index q/q,,,
"Mon, Mar 4",6:50am,JPY,Low Impact Expected,Capital Spending q/y,,,
"Mon, Mar 4",6:50am,JPY,Low Impact Expected,Monetary Base y/y,,,
"Mon, Mar 4",7:00am,AUD,Low Impact Expected,MI Inflation Gauge m/m,,,
"Mon, Mar 4",7:30am,AUD,Low Impact Expected,ANZ Job Advertisements m/m,,,
"Mon, Mar 4",7:30am,AUD,Low Impact Expected,Building Approvals m/m,,,
"Mon, Mar 4",7:30am,AUD,Low Impact Expected,Company Operating Profits q/q,,,
"Mon, Mar 4",3:00pm,EUR,Low Impact Expected,Spanish Unemployment Change,,,
"Mon, Mar 4",4:30pm,EUR,Low Impact Expected,Sentix Investor Confidence,,,
"Tue, Mar 5",6:30am,JPY,Medium Impact Expected,Tokyo Core CPI y/y,,,
"Tue, Mar 5",7:00am,NZD,Low Impact Expected,ANZ Commodity Prices m/m,,,
"Tue, Mar 5",7:01am,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,,,
"Tue, Mar 5",7:30am,AUD,Low Impact Expected,Current Account,,,
"Tue, Mar 5",8:45am,CNY,Medium Impact Expected,Caixin Services PMI,,,
"Tue, Mar 5",10:35am,JPY,Low Impact Expected,10-y Bond Auction,,,
"Tue, Mar 5",2:30pm,CHF,High Impact Expected,CPI m/m,,,
"Tue, Mar 5",3:15pm,EUR,Low Impact Expected,Spanish Services PMI,,,
"Tue, Mar 5",3:45pm,EUR,Low Impact Expected,Italian Services PMI,,,
"Tue, Mar 5",3:50pm,EUR,Low Impact Expected,French Final Services PMI,,,
"Tue, Mar 5",3:55pm,EUR,Low Impact Expected,German Final Services PMI,,,
"Tue, Mar 5",4:00pm,EUR,Low Impact Expected,Final Services PMI,,,
"Tue, Mar 5",4:00pm,EUR,Low Impact Expected,Italian Retail Sales m/m,,,
"Tue, Mar 5",4:30pm,GBP,Medium Impact Expected,Construction PMI,,,
"Tue, Mar 5",4:30pm,GBP,Low Impact Expected,Final Services PMI,,,
"Tue, Mar 5",5:00pm,EUR,Low Impact Expected,PPI m/m,,,
"Tue, Mar 5",9:45pm,USD,Low Impact Expected,Final Services PMI,,,
"Tue, Mar 5",9:45pm,Tentative,NZD,Low Impact Expected,GDT Price Index,,
"Tue, Mar 5",10:00pm,USD,High Impact Expected,ISM Services PMI,,,
"Tue, Mar 5",10:00pm,USD,Low Impact Expected,Factory Orders m/m,,,
"Tue, Mar 5",10:00pm,Tentative,USD,Low Impact Expected,RCM/TIPP Economic Optimism,,
"Wed, Mar 6",6:30am,JPY,Low Impact Expected,Average Cash Earnings y/y,,,
"Wed, Mar 6",7:30am,AUD,High Impact Expected,GDP q/q,,,
"Wed, Mar 6",1:45pm,CHF,Low Impact Expected,Unemployment Rate,,,
"Wed, Mar 6",2:00pm,EUR,Low Impact Expected,German Trade Balance,,,
"Wed, Mar 6",3:00pm,CHF,Medium Impact Expected,Foreign Currency Reserves,,,
"Wed, Mar 6",5:00pm,EUR,Low Impact Expected,Retail Sales m/m,,,
"Wed, Mar 6",8:15pm,USD,High Impact Expected,ADP Non-Farm Employment Change,,,
"Wed, Mar 6",8:30pm,CAD,Low Impact Expected,Labor Productivity q/q,,,
"Wed, Mar 6",9:45pm,CAD,High Impact Expected,BOC Rate Statement,,,
"Wed, Mar 6",9:45pm,CAD,High Impact Expected,Overnight Rate,,,
"Wed, Mar 6",10:00pm,CAD,Medium Impact Expected,Ivey PMI,,,
"Wed, Mar 6",10:00pm,USD,High Impact Expected,JOLTS Job Openings,,,
"Wed, Mar 6",10:00pm,USD,Low Impact Expected,Final Wholesale Inventories m/m,,,
"Wed, Mar 6",10:30pm,CAD,High Impact Expected,BOC Press Conference,,,
"Wed, Mar 6",10:30pm,USD,Low Impact Expected,Crude Oil Inventories,,,
"Thu, Mar 7",2:00am,USD,Low Impact Expected,Beige Book,,,
"Thu, Mar 7",4:45am,NZD,Low Impact Expected,Manufacturing Sales q/q,,,
"Thu, Mar 7",7:01am,GBP,Low Impact Expected,RICS House Price Balance,,,
"Thu, Mar 7",7:30am,AUD,Low Impact Expected,Goods Trade Balance,,,
"Thu, Mar 7",12:00pm,JPY,Low Impact Expected,Economy Watchers Sentiment,,,
"Thu, Mar 7",1:00pm,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,,,
"Thu, Mar 7",1:30pm,EUR,Low Impact Expected,French Final Private Payrolls q/q,,,
"Thu, Mar 7",2:00pm,EUR,Low Impact Expected,German Factory Orders m/m,,,
"Thu, Mar 7",2:00pm,GBP,Low Impact Expected,Halifax HPI m/m,,,
"Thu, Mar 7",2:45pm,EUR,Low Impact Expected,French Trade Balance,,,
"Thu, Mar 7",2:45pm,Tentative,CNY,Medium Impact Expected,New Loans,,
"Thu, Mar 7",2:45pm,Tentative,CNY,Low Impact Expected,M2 Money Supply y/y,,
"Thu, Mar 7",7:30pm,USD,Low Impact Expected,Challenger Job Cuts y/y,,,
"Thu, Mar 7",8:15pm,EUR,High Impact Expected,Main Refinancing Rate,,,
"Thu, Mar 7",8:15pm,EUR,High Impact Expected,Monetary Policy Statement,,,
"Thu, Mar 7",8:30pm,CAD,Low Impact Expected,Building Permits m/m,,,
"Thu, Mar 7",8:30pm,CAD,Low Impact Expected,Trade Balance,,,
"Thu, Mar 7",8:30pm,USD,High Impact Expected,Unemployment Claims,,,
"Thu, Mar 7",8:30pm,USD,Low Impact Expected,Revised Nonfarm Productivity q/q,,,
"Thu, Mar 7",8:30pm,USD,Low Impact Expected,Revised Unit Labor Costs q/q,,,
"Thu, Mar 7",8:30pm,USD,Low Impact Expected,Trade Balance,,,
"Thu, Mar 7",8:45pm,EUR,High Impact Expected,ECB Press Conference,,,
"Thu, Mar 7",10:30pm,USD,Low Impact Expected,Natural Gas Storage,,,
"Fri, Mar 8",3:00am,USD,Low Impact Expected,Consumer Credit m/m,,,
"Fri, Mar 8",6:30am,JPY,Low Impact Expected,Household Spending y/y,,,
"Fri, Mar 8",6:50am,JPY,Low Impact Expected,Bank Lending y/y,,,
"Fri, Mar 8",6:50am,JPY,Low Impact Expected,Current Account,,,
"Fri, Mar 8",8:30am,CNY,High Impact Expected,CPI y/y,,,
"Fri, Mar 8",8:30am,CNY,Medium Impact Expected,PPI y/y,,,
"Fri, Mar 8",8:30am,Tentative,CNY,Low Impact Expected,Trade Balance,,
"Fri, Mar 8",8:30am,Tentative,CNY,Low Impact Expected,USD-Denominated Trade Balance,,
"Fri, Mar 8",10:35am,JPY,Low Impact Expected,30-y Bond Auction,,,
"Fri, Mar 8",12:00pm,JPY,Low Impact Expected,Leading Indicators,,,
"Fri, Mar 8",2:00pm,EUR,Low Impact Expected,German Industrial Production m/m,,,
"Fri, Mar 8",2:00pm,EUR,Low Impact Expected,German PPI m/m,,,
"Fri, Mar 8",5:00pm,EUR,Low Impact Expected,Final Employment Change q/q,,,
"Fri, Mar 8",5:00pm,EUR,Low Impact Expected,Revised GDP q/q,,,
"Fri, Mar 8",8:30pm,CAD,High Impact Expected,Employment Change,,,
"Fri, Mar 8",8:30pm,CAD,High Impact Expected,Unemployment Rate,,,
"Fri, Mar 8",8:30pm,CAD,Low Impact Expected,Capacity Utilization Rate,,,
"Fri, Mar 8",8:30pm,USD,High Impact Expected,Average Hourly Earnings m/m,,,
"Fri, Mar 8",8:30pm,USD,High Impact Expected,Non-Farm Employment Change,,,
"Fri, Mar 8",8:30pm,USD,High Impact Expected,Unemployment Rate,,,
"Sun, Mar 10",2:00pm,CAD,Non-Economic,Daylight Saving Time Shift,,,
"Sun, Mar 10",2:00pm,USD,Non-Economic,Daylight Saving Time Shift,,,
"Sun, Mar 10",2:45pm,EUR,Low Impact Expected,Italian Manufacturing PMI,,,
"Mon, Mar 11",6:50am,JPY,Low Impact Expected,Final GDP Price Index y/y,,,
"Mon, Mar 11",6:50am,JPY,Low Impact Expected,Final GDP q/q,,,
"Mon, Mar 11",6:50am,JPY,Low Impact Expected,M2 Money Stock y/y,,,
"Mon, Mar 11",3:00pm,CHF,Low Impact Expected,SECO Consumer Climate,,,
"Mon, Mar 11",3:00pm,EUR,Low Impact Expected,Italian Industrial Production m/m,,,
"Mon, Mar 11",3:00pm,EUR,Low Impact Expected,Italian Trade Balance,,,
"Tue, Mar 12",6:30am,AUD,Low Impact Expected,Westpac Consumer Sentiment,,,
"Tue, Mar 12",6:50am,JPY,Low Impact Expected,BSI Manufacturing Index,,,
"Tue, Mar 12",6:50am,JPY,Low Impact Expected,PPI y/y,,,
"Tue, Mar 12",7:30am,AUD,Low Impact Expected,NAB Business Confidence,,,
"Tue, Mar 12",1:00pm,EUR,Low Impact Expected,German Final CPI m/m,,,
"Tue, Mar 12",1:00pm,GBP,High Impact Expected,Claimant Count Change,,,
"Tue, Mar 12",1:00pm,GBP,Medium Impact Expected,Average Earnings Index 3m/y,,,
"Tue, Mar 12",1:00pm,GBP,Low Impact Expected,Unemployment Rate,,,
"Tue, Mar 12",1:45pm,EUR,Low Impact Expected,French Industrial Production m/m,,,
"Tue, Mar 12",All Day,EUR,Low Impact Expected,Eurogroup Meetings,,,
"Tue, Mar 12",5:00pm,USD,Low Impact Expected,NFIB Small Business Index,,,
"Tue, Mar 12",7:30pm,USD,High Impact Expected,Core CPI m/m,,,
"Tue, Mar 12",7:30pm,USD,High Impact Expected,CPI m/m,,,
"Tue, Mar 12",7:30pm,USD,High Impact Expected,CPI y/y,,,
"Tue, Mar 12",8:30pm,GBP,Low Impact Expected,CB Leading Index m/m,,,
"Wed, Mar 13",12:01am,USD,Medium Impact Expected,10-y Bond Auction,,,
"Wed, Mar 13",1:00am,USD,Low Impact Expected,Federal Budget Balance,,,
"Wed, Mar 13",4:45am,NZD,Low Impact Expected,FPI m/m,,,
"Wed, Mar 13",1:00pm,GBP,High Impact Expected,GDP m/m,,,
